especie,cenario,desvio_termico,desvio_bpm,variabilidade_bpm,queda_atividade,fragmentacao_repouso,taquicardia_repouso,risco
gato,saudavel,0.0,0.0,0.021375585968698502,0.026647549197769127,1.0,0.0,0
ave,letargia,0.0,0.0,0.027756117011389244,0.12393296930405895,1.0,0.0,1
cao,saudavel,0.0,0.0,0.037419097070271176,0.1086758377252276,1.0,0.0,0
coelho,hipotermia_choque,0.7034473639948355,0.0,0.24468754616539543,0.9067282529470315,0.0,0.0,1
bovino,taquicardia_repouso,0.0,1.0,0.042957563210724414,0.6749064079884698,0.0,1.0,1
gato,saudavel,0.0,0.0,0.023742911338124992,0.02249990161161719,1.0,0.0,0
ave,atividade_intensa,0.0,0.5248066512486336,0.061698395831268384,0.0,0.0,0.0,0
bovino,saudavel,0.0,0.0,0.039419946513672956,0.0380350652337218,1.0,0.0,0
bovino,saudavel,0.0,0.0,0.03393544157593386,0.0,1.0,0.0,0
gato,saudavel,0.0,0.0,0.021114067451459818,0.0,1.0,0.0,0
coelho,letargia,0.0,0.0,0.04160520019179612,0.15975112259094493,1.0,0.0,1
ave,hipotermia_choque,0.571022301601424,0.023987535683247296,0.1880623507838812,0.9191249200396029,0.0,0.0,1
ave,saudavel,0.0,0.0,0.020245942769896143,0.0,0.0,0.0,0
cao,saudavel,0.0,0.0,0.03854284827421581,0.046121206946830084,1.0,0.0,0
bovino,hipotermia_choque,0.9488211342124846,0.0,0.22780831240728952,0.8382037062599055,0.0,0.0,1
gato,letargia,0.0,0.0,0.031496718201563974,0.0,1.0,0.0,1
bovino,saudavel,0.0,0.0,0.03420813325105894,0.0,1.0,0.0,0
bovino,saudavel,0.0,0.0,0.04489503304109384,0.0,1.0,0.0,0
ave,saudavel,0.0,0.0,0.024757960936153286,0.030942805195787848,0.0,0.0,0
gato,saudavel,0.0,0.0,0.018666489511251768,0.0,0.3448275862068965,0.0,0
bovino,saudavel,0.0,0.0,0.03872410005698905,0.09061499133645834,1.0,0.0,0
ave,atividade_intensa,0.0,0.4763078919992032,0.043359929138676895,0.0,0.0,0.0,0
ave,letargia,0.0,0.0,0.02341707867401034,0.04507327940779238,1.0,0.0,1
ave,atividade_intensa,0.0,0.5579927865147367,0.06129043717166498,0.0,0.0,0.0,0
gato,febre,0.506921178894957,0.0,0.07611326679466074,0.11639020964511126,1.0,0.03333333333333333,1
cao,saudavel,0.0,0.0,0.03344228197777606,0.0,1.0,0.0,0
bovino,hipotermia_choque,0.3834324305084824,0.0,0.26135335755893613,0.853153470325821,0.0,0.0,1
bovino,letargia,0.0,0.0,0.04178219760705138,0.0,1.0,0.0,1
gato,febre,0.6392261593854547,0.0,0.05865548155335067,0.20813227325170247,1.0,0.0,1
gato,saudavel,0.0,0.0,0.023916987107731814,0.018451355500763045,1.0,0.0,0
ave,febre,0.019175099011391694,0.0,0.058210082238561375,0.17527714851603204,0.8620689655172414,0.0,1
ave,saudavel,0.0,0.0,0.022850360224042028,0.0,0.3448275862068965,0.0,0
bovino,hipotermia_choque,0.7439958375286058,0.0,0.24932376153606656,0.8525329974811161,0.0,0.0,1
ave,febre,0.16188991666395935,0.0,0.08106634601269809,0.13030226919804377,0.3448275862068965,0.03333333333333333,1
cao,febre,0.524124931556077,0.0,0.13721996381223828,0.09981507667963929,1.0,0.13333333333333333,1
gato,saudavel,0.0,0.0,0.025722535207597538,0.0,0.689655172413793,0.0,0
bovino,saudavel,0.0,0.0,0.029664263883426877,0.060118352378262574,1.0,0.0,0
coelho,atividade_intensa,0.0,0.3379933724583255,0.04993464011124478,0.0,0.0,0.0,0
gato,febre,0.539010422218227,0.0,0.06501602264207934,0.17565245853743683,1.0,0.0,1
coelho,hipotermia_choque,0.974399727388241,0.0,0.2620963667102391,0.8979063600784851,0.0,0.0,1
bovino,febre,0.5286037527117646,0.0,0.09364666162778469,0.17871313500025077,1.0,0.13333333333333333,1
cao,saudavel,0.0,0.0,0.041874105931691524,0.08630838336599189,1.0,0.0,0
coelho,taquicardia_repouso,0.0,0.8519387395824967,0.055649985521938866,0.7739652908329312,0.0,1.0,1
bovino,saudavel,0.0,0.0,0.027475174916866702,0.0535050746825233,1.0,0.0,0
bovino,taquicardia_repouso,0.0,0.9547933354065479,0.04087190541043512,0.6854675524876868,0.0,1.0,1
gato,letargia,0.0,0.0,0.020790932184144604,0.03373417735258555,1.0,0.0,1
cao,atividade_intensa,0.0,0.3385278009907473,0.049555834558622114,0.0,0.0,0.0,0
bovino,saudavel,0.0,0.0,0.034252361806539774,0.06489113532538604,1.0,0.0,0
cao,saudavel,0.0,0.0,0.041070165355311376,0.03244529658503559,1.0,0.0,0
cao,taquicardia_repouso,0.0,0.8211807760750545,0.04302204418694291,0.6932296190133838,0.0,1.0,1
coelho,saudavel,0.0,0.0,0.04007306863455039,0.0,0.689655172413793,0.0,0
coelho,hipotermia_choque,0.9024727142726003,0.0,0.2865766904241078,0.8911272763077502,0.0,0.0,1
coelho,saudavel,0.0,0.0,0.04448049768789242,0.06594765385415047,0.689655172413793,0.0,0
ave,atividade_intensa,0.0,0.5288440163411041,0.055300357116061495,0.0,0.0,0.0,0
cao,saudavel,0.0,0.0,0.0376348247446448,0.05006074501721103,1.0,0.0,0
bovino,saudavel,0.0,0.0,0.03113549678120843,0.053172786200426314,1.0,0.0,0
gato,febre,0.5831573395941552,0.0,0.06164378100439679,0.12148343409053475,1.0,0.03333333333333333,1
bovino,saudavel,0.0,0.0,0.03412594832094944,0.0,1.0,0.0,0
gato,letargia,0.0,0.0,0.03241583687636045,0.0,1.0,0.0,1
bovino,hipotermia_choque,0.4090931977261978,0.0,0.18924660402126808,0.8521774199185059,0.0,0.0,1
coelho,letargia,0.0,0.0,0.05579963990794132,0.0,1.0,0.0,1
gato,saudavel,0.0,0.0,0.01869072968443044,0.0066323648669573965,1.0,0.0,0
cao,febre,0.4244902382866731,0.0,0.13237610529821556,0.0562253641427759,1.0,0.03333333333333333,1
coelho,letargia,0.0,0.0,0.048680117209522936,0.09507233212208321,1.0,0.0,1
gato,febre,0.658885991562538,0.0,0.07564813738406766,0.19077097043847446,1.0,0.06666666666666667,1
gato,saudavel,0.0,0.0,0.016278522275417977,0.0,1.0,0.0,0
bovino,hipotermia_choque,0.8118667553864423,0.0,0.2297237275725945,0.8418302103127584,0.0,0.0,1
bovino,saudavel,0.0,0.0,0.035683321005776175,0.014170320675559456,1.0,0.0,0
cao,atividade_intensa,0.0,0.2892567549195981,0.04730556605216227,0.0,0.0,0.0,0
coelho,saudavel,0.0,0.0,0.04894001082674896,0.0,0.3448275862068965,0.0,0
bovino,saudavel,0.0,0.0,0.029342321199769802,0.055505434939662646,1.0,0.0,0
cao,letargia,0.0,0.0,0.05601216870347077,0.0,1.0,0.0,1
cao,letargia,0.0,0.0,0.04479160106513205,0.0,1.0,0.0,1
coelho,saudavel,0.0,0.0,0.038880886759803085,0.019880082818338307,0.0,0.0,0
bovino,saudavel,0.0,0.0,0.032535607381994555,0.0,1.0,0.0,0
coelho,taquicardia_repouso,0.0,0.7915321654651046,0.05224962076729887,0.7825632509766041,0.0,1.0,1
coelho,letargia,0.0,0.0,0.04413028783445832,0.0,1.0,0.0,1
ave,saudavel,0.0,0.0,0.02107818895038787,0.0,0.3448275862068965,0.0,0
coelho,saudavel,0.0,0.0,0.032104557187316425,0.0,0.3448275862068965,0.0,0
cao,saudavel,0.0,0.0,0.02899462812472209,0.0,1.0,0.0,0
bovino,taquicardia_repouso,0.0,1.0,0.04430162411464312,0.6893958129320001,0.0,1.0,1
cao,saudavel,0.0,0.0,0.03503749634973547,0.005693166755261769,1.0,0.0,0
gato,saudavel,0.0,0.0,0.01745813355381952,0.01741826046867745,1.0,0.0,0
cao,saudavel,0.0,0.0,0.03593415524314599,0.0,1.0,0.0,0
cao,letargia,0.0,0.0,0.04603020011038183,0.0,1.0,0.0,1
cao,saudavel,0.0,0.0,0.03620687408959427,0.005910624349176552,1.0,0.0,0
ave,letargia,0.0,0.0,0.022191035814235205,0.0,1.0,0.0,1
cao,atividade_intensa,0.0,0.3563773562322474,0.046476860077787306,0.0,0.0,0.0,0
cao,febre,0.5977105250565513,0.0,0.14508350517441257,0.10347499674436067,1.0,0.1,1
coelho,taquicardia_repouso,0.0,0.8697674334992838,0.048693578425731965,0.7978631664990887,0.0,1.0,1
gato,saudavel,0.0,0.0,0.022730036227383794,0.0,0.689655172413793,0.0,0
gato,febre,0.9055033481682151,0.0,0.05526270367615693,0.08820982551540246,1.0,0.0,1
cao,letargia,0.0,0.0,0.046966732043970554,0.0,1.0,0.0,1
coelho,saudavel,0.0,0.0,0.03726656829900033,0.023830213023840585,0.3448275862068965,0.0,0
ave,atividade_intensa,0.0,0.506940278260297,0.05458341791146118,0.0,0.0,0.0,0
gato,saudavel,0.0,0.0,0.026986382195666823,0.0,0.3448275862068965,0.0,0
